#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
10,0.020000000000000004,-168380.82921407127,-167524.18198084878,10.497285591811067
20,0.04000000000000002,-168293.32921407127,-166594.17493152592,20.82129851903056
30,0.06000000000000004,-168321.36046407127,-165696.1084020913,32.169625461145614
40,0.08000000000000006,-168445.89171407127,-164827.85459481756,44.33513288744256
50,0.10000000000000007,-168505.57921407127,-164014.40570611425,55.034475250742474
60,0.12000000000000009,-168505.86046407127,-163176.80567096666,65.30180443961
70,0.1400000000000001,-168400.64171407127,-162421.29685214144,73.27040610577997
80,0.16000000000000011,-168292.04796407127,-161653.01216146693,81.35420529175383
90,0.18000000000000013,-168104.95421407127,-160892.2339464195,88.38408811357128
100,0.20000000000000015,-167759.61046407127,-160253.86244173767,91.97482641042086
110,0.22000000000000017,-167476.45421407127,-159563.55417004338,96.96403420244316
120,0.24000000000000019,-167154.67296407127,-158947.91111382737,100.56499289902465
130,0.2600000000000002,-167018.01671407127,-158301.7049094187,106.80897663851657
140,0.2800000000000002,-166740.70421407127,-157661.7304253004,111.253007124977
150,0.3000000000000002,-166484.4210565053,-157066.8937433253,115.40161450501594
160,0.32000000000000023,-166290.2023065053,-156492.8031951753,120.0565326542927
170,0.34000000000000025,-166152.5460565053,-155860.06217590513,126.12326119041941
180,0.36000000000000026,-165924.1710565053,-155322.72310679028,129.9092817894777
190,0.3800000000000003,-165687.0460565053,-154713.30939840083,134.47127737296827
200,0.4000000000000003,-165461.15452227194,-154151.45743061078,138.5881092283947
210,0.4200000000000003,-165383.24827227194,-153641.12701559393,143.88699981128576
220,0.44000000000000034,-165196.34202227194,-153201.1765346693,146.98778325674638
230,0.46000000000000035,-164852.39116239722,-152696.0780503587,148.96247315305533
240,0.48000000000000037,-164729.70366239722,-152190.73245802912,153.65153432481748
250,0.5000000000000003,-164567.45366239722,-151753.21290965332,157.02466500447858
260,0.5200000000000004,-164395.70366239722,-151311.03273714508,160.33849436546632
270,0.5400000000000004,-164036.23491239722,-150779.201048602,162.45061580958074
280,0.5600000000000004,-163936.50007261394,-150330.0170248382,166.73273771671606
290,0.5800000000000004,-163779.12507261394,-149967.68180712662,169.24430357117478
300,0.6000000000000004,-163554.71882261394,-149507.01991187583,172.13936105189032
310,0.6200000000000004,-163155.09382261394,-149124.88976072485,171.92498059558173
320,0.6400000000000005,-163135.34382261394,-148643.1225879133,177.58650149150498
330,0.6600000000000005,-162788.71882261394,-148319.34982090647,177.30647208519082
340,0.6800000000000005,-162637.15632261394,-147962.20623941382,179.8256459539766
350,0.7000000000000005,-162270.8768614122,-147527.3649437438,180.6657971027809
360,0.7200000000000005,-162349.5018614122,-147122.38103608254,186.59190136318585
370,0.7400000000000005,-161921.6268614122,-146841.29390585015,184.79317473382673
380,0.7600000000000006,-161956.7518614122,-146576.85062978393,188.46406004829177
390,0.7800000000000006,-162004.2518614122,-146425.4187020891,190.9017557266944
400,0.8000000000000006,-161959.43360512168,-146253.83106907178,192.45517736886958
410,0.8200000000000006,-162031.18360512168,-145959.43130804435,196.94194679018625
420,0.8400000000000006,-161831.18360512168,-145529.35088198748,199.761333636647
